query,style,event,budget
recommend athleisure outfit for date night in green budget friendly,athleisure,date_night,low
need a athleisure shirt suitable for daily wear and designer,athleisure,daily_wear,high
recommend streetwear outfit for date night in beige under 15000,streetwear,date_night,high
recommend ethnic outfit for travel in pink around 6000,ethnic,travel,mid
"looking for boho wear for date night, below 2500",boho,date_night,low
show me pink saree in boho style for travel under 15000,boho,travel,high
show me black kurta in formal style for daily wear mid range,formal,daily_wear,mid
"looking for minimal wear for office, budget friendly",minimal,office,low
show me blue shirt in smart casual style for travel quality for price,smart_casual,travel,mid
"looking for streetwear wear for daily wear, luxury",streetwear,daily_wear,high
show me green sneakers in streetwear style for office luxury,streetwear,office,high
find beige sneakers for beach with a low budget and boho look,boho,beach,low
find beige blazer for office with a mid budget and casual look,casual,office,mid
find pink dress for wedding with a low budget and smart casual look,smart_casual,wedding,low
recommend ethnic outfit for daily wear in navy premium,ethnic,daily_wear,high
find red shirt for office with a mid budget and formal look,formal,office,mid
need a smart casual jacket suitable for daily wear and around 6000,smart_casual,daily_wear,mid
find navy saree for travel with a high budget and boho look,boho,travel,high
"looking for formal wear for date night, quality for price",formal,date_night,mid
show me beige sneakers in formal style for wedding budget friendly,formal,wedding,low
"looking for boho wear for travel, quality for price",boho,travel,mid
find white sneakers for date night with a high budget and smart casual look,smart_casual,date_night,high
"looking for athleisure wear for daily wear, quality for price",athleisure,daily_wear,mid
show me red saree in casual style for daily wear high end,casual,daily_wear,high
show me beige jeans in minimal style for beach high end,minimal,beach,high
find green sneakers for office with a high budget and minimal look,minimal,office,high
recommend minimal outfit for wedding in navy around 6000,minimal,wedding,mid
show me navy blazer in minimal style for travel quality for price,minimal,travel,mid
recommend casual outfit for gym in blue quality for price,casual,gym,mid
recommend casual outfit for daily wear in red under 7000,casual,daily_wear,mid
show me blue jacket in athleisure style for office affordable,athleisure,office,low
"looking for streetwear wear for gym, under 7000",streetwear,gym,mid
recommend ethnic outfit for daily wear in black quality for price,ethnic,daily_wear,mid
find blue jeans for beach with a low budget and casual look,casual,beach,low
show me pink sneakers in smart casual style for daily wear luxury,smart_casual,daily_wear,high
find pink kurta for daily wear with a low budget and smart casual look,smart_casual,daily_wear,low
find pink kurta for daily wear with a high budget and athleisure look,athleisure,daily_wear,high
show me red saree in streetwear style for party high end,streetwear,party,high
recommend streetwear outfit for office in pink below 2500,streetwear,office,low
recommend athleisure outfit for travel in pink cheap,athleisure,travel,low
find beige dress for daily wear with a mid budget and minimal look,minimal,daily_wear,mid
show me beige sneakers in minimal style for travel budget friendly,minimal,travel,low
show me pink jacket in boho style for beach luxury,boho,beach,high
"looking for casual wear for beach, designer",casual,beach,high
need a boho blazer suitable for office and budget friendly,boho,office,low
"looking for athleisure wear for gym, cheap",athleisure,gym,low
"looking for athleisure wear for date night, premium",athleisure,date_night,high
recommend boho outfit for party in beige below 2500,boho,party,low
"looking for casual wear for travel, budget friendly",casual,travel,low
need a minimal saree suitable for wedding and under 7000,minimal,wedding,mid
need a smart casual jeans suitable for daily wear and luxury,smart_casual,daily_wear,high
show me blue sneakers in ethnic style for date night premium,ethnic,date_night,high
show me pink jacket in minimal style for travel quality for price,minimal,travel,mid
recommend athleisure outfit for wedding in black under 15000,athleisure,wedding,high
find green shirt for office with a low budget and formal look,formal,office,low
need a streetwear saree suitable for wedding and luxury,streetwear,wedding,high
show me green heels in minimal style for date night quality for price,minimal,date_night,mid
find green kurta for office with a low budget and boho look,boho,office,low
"looking for boho wear for date night, under 7000",boho,date_night,mid
recommend boho outfit for beach in beige around 6000,boho,beach,mid
show me blue saree in minimal style for wedding quality for price,minimal,wedding,mid
recommend smart casual outfit for beach in green cheap,smart_casual,beach,low
recommend formal outfit for party in black under 15000,formal,party,high
show me blue heels in formal style for gym budget friendly,formal,gym,low
need a ethnic saree suitable for gym and under 7000,ethnic,gym,mid
show me pink dress in casual style for date night premium,casual,date_night,high
need a ethnic jacket suitable for daily wear and budget friendly,ethnic,daily_wear,low
recommend casual outfit for party in green cheap,casual,party,low
recommend streetwear outfit for travel in black mid range,streetwear,travel,mid
"looking for casual wear for office, premium",casual,office,high
show me navy kurta in ethnic style for office around 6000,ethnic,office,mid
recommend ethnic outfit for party in black luxury,ethnic,party,high
show me pink blazer in streetwear style for wedding luxury,streetwear,wedding,high
need a ethnic heels suitable for gym and under 15000,ethnic,gym,high
"looking for minimal wear for daily wear, quality for price",minimal,daily_wear,mid
show me green jeans in streetwear style for party luxury,streetwear,party,high
"looking for casual wear for gym, cheap",casual,gym,low
need a smart casual dress suitable for wedding and under 15000,smart_casual,wedding,high
"looking for streetwear wear for daily wear, premium",streetwear,daily_wear,high
show me green kurta in athleisure style for gym under 15000,athleisure,gym,high
find blue saree for travel with a mid budget and smart casual look,smart_casual,travel,mid
"looking for smart casual wear for office, under 3000",smart_casual,office,low
"looking for smart casual wear for gym, premium",smart_casual,gym,high
show me beige jacket in casual style for wedding below 2500,casual,wedding,low
need a minimal dress suitable for date night and designer,minimal,date_night,high
find green kurta for date night with a mid budget and casual look,casual,date_night,mid
recommend streetwear outfit for wedding in green budget friendly,streetwear,wedding,low
